Name,Location,Categories,Rating,Price,Reviews
Shaker + Spear,Seattle,Seafood,4.4,$$,1105
Biang Biang Noodles,Seattle,Noodles,4.3,$$,1316
Kedai Makan,Seattle,Malaysian,4.2,$$,1415
Tilikum Place Cafe,Seattle,New American,4.3,$$,2292
Radiator Whiskey,Seattle,New American,4.4,$$,1428
2120,Seattle,New American,4.3,$$$,672
List,Seattle,Tapas/Small Plates,4.3,$$,2132
Ludi's Restaurant & Lounge,Seattle,American,4.8,$$,295
Paju,Seattle,Korean,4.5,$$,330
Chan Seattle,Seattle,Asian Fusion,4.3,$$$,1069
Lola,Seattle,Greek,4.1,$$,4361
Katsu-ya Seattle,Seattle,Sushi Bars,4.4,$$,299
Tanoor,Seattle,Lebanese,4.5,$$,283
Von's 1000 Spirits,Seattle,New American,4.5,$$,3211
Kobuta And Ookami,Seattle,Japanese,4.3,$$,492
Six Seven Restaurant,Seattle,New American,4.0,$$$,1283
Nue,Seattle,Tapas/Small Plates,4.2,$$,1500
Old Stove Brewing - Pike Place,Seattle,Brewpubs,4.3,$$,1177
D' La Santa,Seattle,Mexican,4.6,$$,457
re:public,Seattle,New American,3.8,$$,670
Pike Place Chowder,Seattle,Seafood,4.4,$$,9171
Itsumono Seattle,Seattle,Bars,4.3,,114
Piroshky Piroshky,Seattle,Bakeries,4.3,$,7658
Taurus Ox,Seattle,Laotian,4.6,$$,482
Skalka,Seattle,Breakfast & Brunch,4.5,$$,1022
Cascina Spinasse,Seattle,Italian,4.4,$$$,1387
Rondo,Seattle,Sushi Bars,4.4,$$,585
Lil Pocha,Seattle,Korean,4.5,,2
KAS,Seattle,Asian Fusion,4.9,,32
Shinya Shokudo - Seattle,Seattle,Izakaya,4.3,$$$,875
Bangrak Market,Seattle,Bars,4.2,$$,1498
LOCAL Public Eatery Terry Ave,Seattle,Bars,3.9,$$,585
Petra Bistro,Seattle,Mediterranean,4.3,$$,1151
Maria Sabina Mexican Restaurant & Bar,Seattle,Mexican,4.5,$$,79
Café Hagen,Seattle,Scandinavian,4.2,$$,383
Toulouse Petit Kitchen & Lounge,Seattle,Cajun/Creole,4.0,$$,5137
Café Hagen,Seattle,Cafes,4.7,,15
Duke’s Seafood South Lake Union,Seattle,Seafood,4.0,$$,1348
Cook Weaver,Seattle,Modern European,4.6,$$,260
Haerfest,Seattle,Italian,4.8,,23
Biscuit Bitch,Seattle,Breakfast & Brunch,4.3,$$,1748
Bleuwiches,Seattle,Sandwiches,4.7,,26
The Carlile Room,Seattle,New American,4.0,$$,534
The Butcher's Table,Seattle,Steakhouses,4.1,$$$$,725
Half Shell,Seattle,Bars,4.5,,25
The White Swan Public House,Seattle,Bars,3.9,$$,429
Ba Bar Green,Seattle,Vietnamese,4.5,,37
Kalabaw Bar & Kitchen,Seattle,Asian Fusion,4.6,,23
The Poppy and Parliament,Huntsville,Pubs,4.4,$$,253
Stovehouse,Huntsville,Venues & Event Spaces,4.5,$$,54
Hound and Harvest,Huntsville,Coffee & Tea,4.3,$$,54
Char Restaurant,Huntsville,Steakhouses,4.3,$$,303
Mazzara’s Vinoteca,Huntsville,Italian,4.6,,115
Purveyor Huntsville,Huntsville,Tapas Bars,4.2,$$,174
Seoul Good - Korean Fried Chicken,Huntsville,Korean,4.0,,17
Phat Sammy's,Huntsville,Tiki Bars,4.1,$$,114
MELT,Huntsville,Sandwiches,4.3,$$,277
CO/OP Community Bar & Table,Huntsville,Southern,4.0,$$$,65
Rhythm On Monroe,Huntsville,American,3.8,$$,122
Cotton Row Restaurant,Huntsville,New American,4.1,$$$,367
Le Petit Bijou by Domaine South,Huntsville,New American,4.6,,10
The Cozy Cow,Huntsville,Ice Cream & Frozen Yogurt,4.3,$,94
The Social,Huntsville,New American,5.0,,4
Sea Salt Urban Osyter Bar,Huntsville,Seafood,4.0,,30
